database_name,database_url,database_information
ADS Abstract Service,https://ui.adsabs.harvard.edu/,astronomy and physics literature
African American Communities,http://libproxy.clemson.edu/login?url=https://www.aac.amdigital.co.uk/,"Focusing predominantly on Atlanta, Chicago, New York, and towns and cities in North Carolina this resource presents African American community pamphlets, newspapers and periodicals, correspondence, official records, reports and in-depth oral histories, revealing the prevalent challenges of racism, discrimination and integration."
African American Newspapers - The 19th Century - Part 1 (part of Accessible Archives),http://libproxy.clemson.edu/login?url=http://www.accessible.com/accessible/preLog,"full text of Freedom's Journal, New York, 1827- Mar. 1829; Colored American, New York, 1837-Mar. 1840; The North Star, Rochester, NY, 1847-July 1849; National Era, Washington, DC, 1847-Dec. 1848"
"African American Newspapers, Series 1 and 2 (1827-1998)",http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/?db=EANX&d_collections=EANAAA|EANAAA2,"more than 350 U.S. newspapers from 35+ states, including rare 19th-century titles published for or by African Americans; see all titles"
African American Studies Center,http://libproxy.clemson.edu/login?url=http://www.oxfordaasc.com/,"African American and African history and culture including biographies, topical entries, primary source documents with commentary, images, maps, and charts"
African-American History,http://libproxy.clemson.edu/login?url=https://online.infobaselearning.com/Direct.aspx?pid=WE01&aid=95696,"Covering more than 500 years of the African-American experience, African-American History offers a fresh way to explore the full spectrum of African-American history and culture. Designed more for secondary education students."
AgBiotechNet,http://libproxy.clemson.edu/login?url=http://www.cabi.org/agbiotechnet,"agricultural biotech information including plant and animal reproduction, genomics, pathogens, and diseases"
AgEcon Search,http://ageconsearch.umn.edu/,"full-text journal articles, working papers, and conference papers in agricultural, resource, environmental, consumer, and other areas of applied economics"
AgeLine,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=gnh",issues of aging and the population of people aged 50 years and older; updated weekly
Agricola,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=agr","agriculture and related fields, 1970-present"
Agricultural & Environmental Science Database,http://libproxy.clemson.edu/login?url=https://search.proquest.com/espm?accountid=6167,"environmental biotechnology, engineering, and pollution; 1967-present; formerly Environmental Sciences and Pollution Management"
AGRIS,http://agris.fao.org/,Food and Agriculture Organization (FAO) databases; 1975-present
All The World’s Primates,http://libproxy.clemson.edu/login?url=http://alltheworldsprimates.org/Members_university/Home_university.aspx,"information about all the species and subspecies of living lorises, galagos, lemurs, tarsiers, monkeys, and apes; may have to allow Silverlight to activate"
Alt HealthWatch,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=awh","complementary, holistic and integrated approaches to health care and wellness, 1984-present; access provided via Discus"
Alternative Farming Systems Information Center (AFSIC),https://www.nal.usda.gov/afsic,"information on sustainable and alternative agricultural systems, crops, and livestock"
Aluminium Industry Abstracts,http://libproxy.clemson.edu/login?url=https://search.proquest.com/aluminumindustryabstracts?accountid=6167,"aluminum, production processes, products, applications, and business developments; 1972-present"
AmDocs,http://www.vlib.us/amdocs/,"documents for the study of American history, arranged chronologically"
America History and Life,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ahl",U.S. and Canadian historical topics from prehistory to the present; 1964-present
America's Historical Newspapers,http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/?db=EANX,America's Newspapers from 1690s to 1922.
America's News (Now Access World News),http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/apps/news/easy-search?p=NewsBank,"Find global information on topics related to business, education, government, health, jobs and careers, politics and more from a variety of news media featuring newspapers, videos, images and web-only content including the Anderson Independent-Mail, Post & Courier, The State, USA Today and international sources."
American Antiquarian Society Historical Periodicals Collections,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=h9h&defaultdb=h9i&defaultdb=h9j&defaultdb=h9k&defaultdb=h9m","documenting the life of America's people from the Colonial Era through the Civil War and Reconstruction, to provide digital access to the most comprehensive collection of American periodicals published between 1684 and 1912."
American Chemical Society (ACS),http://libproxy.clemson.edu/login?url=https://pubs.acs.org,"includes current journal content, ACS Legacy Archives, ACS Symposium Series (2010 to present), current C&EN News, and the ACS Style Guide"
American Energy Society (AES),http://libproxy.clemson.edu/login?url=https://subscriptions.energysociety.org/clemson2346gt786543.html,"Access AES publications, including Energy Matters, Energy Today, all reports and white papers, and a comprehensive archive for these resources.
New users will need to create an account."
American Firms Operating in Foreign Countries (now Uniworld Online),http://libproxy.clemson.edu/login?url=https://uniworldonline.com/search,"location and contact information for American firms and companies that have a substantial investment in overseas operations, such as wholly or partially owned subsidiary, affiliates, or branches"
American Fur Company: America's First Business Monopoly,http://libproxy.clemson.edu/login?url=http://go.galegroup.com/gdsc/i.do?id=8MHN&v=2.1&u=clemsonu_main&it=aboutCollections&p=GDSC&sw=w,"the papers include original letters received from factors, foreign and domestic agents, mainly to Ramsey Crooks, president of the Company; copies of letters sent by the Company; records of furs received from the Indians, and orders for goods to be shipped to the factors in exchange for furs; 1831-1849"
"American History, 1493-1945",http://libproxy.clemson.edu/login?url=http://www.americanhistory.amdigital.co.uk/,"This unique collection documents American History from the earliest settlers to the mid-twentieth century.
Module I: Settlement, Commerce, Revolution and Reform: 1493-1859
Module II: Civil War, Reconstruction and the Modern Era: 1860-1945"
American Indian Histories and Cultures,http://libproxy.clemson.edu/login?url=https://www.aihc.amdigital.co.uk/,"This collection includes content dating to the earliest contact with European settlers, providing manuscripts, artwork, rare printed books, treaties, speeches, diaries, historic maps, travel journals, and more."
American Indian Newspapers (now Indigenous Newspapers of North America),http://libproxy.clemson.edu/login?url=https://www.indigenousnewspapersinnorthamerica.amdigital.co.uk/,"American Indian Newspapers presents the publications of a range of communities, with an extensive list of periodicals produced in the United States and Canada, including Alaska, Arizona, British Columbia, California, Nevada and Oklahoma, from 1828 to 2016."
American Memory,http://memory.loc.gov/ammem/index.html,browse or search Library of Congress' vast collection of digitized materials
American Music,http://libproxy.clemson.edu/login?url=https://search.alexanderstreet.com/amso,"more than half a million songs from all periods of American history plus PDFs of liner notes
Limit: 3 simultaneous users"
American National Biography Online,http://libproxy.clemson.edu/login?url=http://www.anb.org/,"portraits of more than 19,000 men and women whose lives have shaped the nation
Limit: 1 user at a time"
"American Pamphlet Series I, 1820-1922: From the New-York Historical Society",http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/?db=AMPAM1&s_startsearch=customized,"digitized pamphlets organized by genre, subject, author, and more"
American Periodicals Series Online,http://libproxy.clemson.edu/login?url=https://search.proquest.com/americanperiodicals?accountid=6167,digitized images of the pages of American magazines and journals published from colonial days to the dawn of the 20th century
American Poetry,http://libproxy.clemson.edu/login?url=http://collections.chadwyck.com/home/home_ap.jsp,"more than 40,000 poems from 200+ poets published 1600-1900"
"American State Papers, (1789-1838)",http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/?db=ASPA&s_startsearch=customized,legislative and executive documents published 1789-1839
American West,http://libproxy.clemson.edu/login?url=https://www.americanwest.amdigital.co.uk/,"From early topographical sketches and pioneers’ accounts, to photographs of Buffalo Bill and his ‘Wild West’ stars, explore the fact and the fiction of westward expansion in America from the early eighteenth to the mid-twentieth century."
Analytical WebBase,http://libproxy.clemson.edu/login?url=http://www.rsc.org/aa,"analytical chemistry, 1980-present; also know as Analytical Abstracts"
Anatomy.TV (by Primal Pictures),http://libproxy.clemson.edu/login?url=https://www.anatomy.tv,"Explore highly detailed 3D visualizations of anatomical areas of the body, including the head, spine, abdomen, knee, and much more in this impressive anatomy resource."
Ancestry Library,http://libproxy.clemson.edu/login?url=https://www.ancestrylibrary.com/,"This provides genealogical information of all types, including census records, slave narratives, and passenger lists.
Note: Available on-campus only."
Anchor Yale Bible Commentaries,http://libproxy.clemson.edu/login?url=https://www.theologyandreligiononline.com/anchor-yale-bible-commentaries,"One of the most trusted and long-running scholarly commentaries series for Biblical Studies scholars. Includes resources of Protestant, Catholic, and Jewish scholars from around the world. Also provides a book-by-book translation and exegesis of the Hebrew Bible, the New Testament, and the Apocrypha."
Anchor Yale Bible Dictionary,http://libproxy.clemson.edu/login?url=https://www.theologyandreligiononline.com/anchor-yale-bible-dictionary,The Anchor Yale Bible Dictionary is a six-volume state-of-the-art dictionary of the Bible offering the most up-to-date and comprehensive treatment of biblical subjects and topics.
Anderson Independent Mail,http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/apps/news/browse-multi?p=NewsBank&t=favorite%3AAIMBBAIM!Anderson+Independent+Mail+Collection+with+Digital+Archive,"Search more than 15 years of South Carolina history with the Anderson Independent-Mail Collection. Coverage from 2003 through today, including full-text, web-only content and full-color image edition."
Animal Behavior Abstracts,http://libproxy.clemson.edu/login?url=https://search.proquest.com/animalbehavior?accountid=6167,"animal behavior topics including neurophysiology, behavioral ecology, genetics, and applied ethology; coverage is current year and one previous year"
Année Philologique,http://libproxy.clemson.edu/login?url=http://apps.brepolis.net/LTool/Entrance.aspx?w=30,"index to literature, languages, archaeology, history, economy, philosophy, art, religion, science, technology, and all other aspects of ancient Greece and Rome (prehistory to 800 C.E.); publications 1924-present"
Annual Bibliography of English Language and Literature (ABELL),http://libproxy.clemson.edu/login?url=http://collections.chadwyck.com/home/home_abell.jsp,"English-language literature, linguistics, and folklore; 1920-present"
Annual Reviews,http://libproxy.clemson.edu/login?url=http://arjournals.annualreviews.org/action/showJournals?type=byCategory,"yearly reviews for 46 focused disciplines within biomedical, life, physical, and social sciences; dates vary by subject"
Anthropology Plus,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ant","social, cultural, physical, biological, and linguistic anthropology, ethnology, archaeology, folklore, material culture, and interdisciplinary studies; late 1800s-present"
Anthrosource,http://libproxy.clemson.edu/login?url=http://anthrosource.onlinelibrary.wiley.com/,all aspects of anthropology; coverage dates vary by publication
AP NewsMonitor Collection,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=nsm","real-time access to AP Top News, WorldStream, Financial News, AP Online, U.S. Politics & Government and State Reports; 30-day rolling archive. Access provided via Discus"
AP Stylebook Online,http://libproxy.clemson.edu/login?url=http://www.apstylebook.com/clemson_edu/,"searchable style book content plus online-only exclusives like Capital IQ business profiles and a pronunciation guide.
Limit: 10 simultaneous users"
Apartheid South Africa: 1948-1980,http://libproxy.clemson.edu/login?url=https://www.archivesdirect.amdigital.co.uk/Apartheid,"These previously restricted letters, diplomatic dispatches, reports, trial papers, activists’ biographies and first-hand accounts of events give unprecedented access to the history of South Africa’s apartheid regime."
Applied Science & Technology Full Text,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=asf","indexing and abstracts for 760+ core English-language, scientific, and technical publications since 1983; full-text articles from 200+ periodicals since 1997. Access provided via Discus"
APS Journals,http://libproxy.clemson.edu/login?url=https://journals.aps.org/search,American Physical Society (APS) journals and publications
Aquatic Sciences & Fisheries Abstracts (ASFA),http://libproxy.clemson.edu/login?url=https://search.proquest.com/asfa?accountid=6167,"Premier resource for aquatic and fisheries research. Previously 5 separate sub-databases but now available in one location. Subjects covered include: biology, living resources, ocean technology, policy, aquatic pollution, environmental quality, aquaculture, oceanic studies, and marine biotechnology."
Archives of Sexuality and Gender,http://libproxy.clemson.edu/login?url=https://link.gale.com/apps/AHSI?u=clemsonu_main,"The Archives of Sexuality and Gender provides primary sources for the historical study of sex, sexuality, and gender. Scholars can examine how sexual norms have changed over time, health and hygiene, the development of sex education, the rise of sexology, changing gender roles, social movements and activism, erotica, and many other interesting topical areas.
Collections include:
•Archives of Sexuality and Gender: Sex and Sexuality, Sixteenth to Twentieth Century Digital Archive
•Archives of Sexuality and Gender: LGBTQ History and Culture Since 1940, Part I
•Archives of Sexuality and Gender: LGBTQ History and Culture Since 1940, Part II"
Archnet,https://www.archnet.org/,"MIT resource for architecture, urbanism, environmental and landscape design, visual culture, and conservation issues related to the Muslim world"
Aristotle: Complete Works,http://libproxy.clemson.edu/login?url=http://pm.nlx.com/xtf/view?docId=aristotle/aristotle.xml,complete text of the works of Aristotle translated into English searchable by keyword/ phrase
Art & Archaeology Artifact Browser,http://www.perseus.tufts.edu/hopper/artifactBrowser,documents 424 ancient buildings and 179 sites plus objects
Art Full Text,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=aft","art, architecture, art history, graphic arts, photography, motion pictures, and related fields; 1984-present
Limit: 4 simultaneous users"
Art Images for College Teaching (AICT),http://quod.lib.umich.edu/a/aict?g=art-ic;page=index,"study collection of art historian Allen T. Kohl with emphasis on ancient, medieval, and Renaissance European art and architecture"
Art Index Retrospective,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=air","art, architecture, art history, graphic arts, photography, motion pictures, and related fields; 1929-1984
Limit: 1 user at a time"
"Art, Design, & Architecture Collection",http://libproxy.clemson.edu/login?url=https://search.proquest.com/?accountid=6167&selectids=10000180,"includes ARTbibliographies Modern, Design & Applied Arts Index, Arts & Humanities Database, and International Bibliography of Art (IBA)"
ARTbibliographies Modern,http://libproxy.clemson.edu/login?url=https://search.proquest.com/?accountid=6167&selectids=1007425,"modern and contemporary arts including photography from late 19th century - present; includes journal articles, essays, exhibition catalogs, dissertations, and exhibition reviews; 1974-present"
ARTFL Databases,http://libproxy.clemson.edu/login?url=http://www.lib.uchicago.edu/efts/ARTFL/newhome/subscribe/#databases,"2,000 French texts from 12th-20th centuries; includes full-text works by 99 French Women Writers; Provençal Poetry; the first-edition of Diderot & d'Alembert's Encyclopédie; the Dictionnaire de l'Académie française in several editions"
Arts & Humanities Citation Index,http://libproxy.clemson.edu/login?url=https://webofknowledge.com/?DestApp=WOS&editions=AHCI,arts and humanities; 1975-present
Arts & Humanities Database,http://libproxy.clemson.edu/login?url=https://search.proquest.com/artshumanities?accountid=6167,"includes titles covering art, architecture, design, history, philosophy, music, literature, theatre, and cultural studies"
Arts and Humanities through the Eras,http://libproxy.clemson.edu/login?url=http://go.galegroup.com/ps/i.do?id=GALE%7C9780787693848&v=2.1&u=clemsonu_main&it=etoc&p=GVRL&sw=w,"overview of architecture, dance, fashion, literature, music, philosophy, religion, theater, and visual arts from ancient Egypt through the Enlightenment"
Artstor Digital Library (Artstor is part of JSTOR; current platform will sunset on 8/1/24),http://libproxy.clemson.edu/login?url=https://library.artstor.org,"Artstor provides more than 2.4 million images of architecture, painting, sculpture, photography, photojournalism, decorative arts, design, and visual culture."
arXiv.org e-Print archive,https://arxiv.org/,"physics, mathematics, computer science, quantitative biology, and quantitative finance and statistics e-prints"
ASABE Standards,http://libproxy.clemson.edu/login?url=http://elibrary.asabe.org/standards.asp,standards issued by the American Society of Agricultural and Biological Engineers (ASABE)
ASCE Library,http://libproxy.clemson.edu/login?url=https://ascelibrary.org/,"eBooks, standards, and journal and periodical articles published by the American Society of Civil Engineers (ASCE); includes conference proceedings 1993-present"
ASEE PEER,https://peer.asee.org/,"Papers from the American Society for Engineering Education annual conference, 1996-date"
ASME Digital Library,http://libproxy.clemson.edu/login?url=https://asmedigitalcollection.asme.org,"American Society of Mechanical Engineers (ASME) journals (full-text 1980-present), conference proceedings (2002-present), and ebooks"
"Associated Press Collections Online: The Washington D.C. Bureau Collection, Part II (1915-1930)",http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/start.do?p=APOA&userGroupName=clemsonu_main,"This collection includes content from the Associated Press Corporate Archives, AP Images, and AP Archive with decades' worth of wire copy, correspondence, memos, internal publications, and more"
Associates Programs Source,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=oih",full-text articles and books; designed for the research needs of two-year colleges
ASTM Standards & Digital Library,http://libproxy.clemson.edu/login?url=https://secure.astm.org/login?redirectUrl=aHR0cHM6Ly9jb21wYXNzLmFzdG0ub3Jn&newApproach=true,"This resource includes all active ASTM Standards documents plus almost every book and paper published by ASTM International.
If you encounter a problem when accessing ASTM, please try a different browser. Contact the Libraries if you experience trouble using the platform."
ATLA Religion Database,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rfh",all aspects of religion for all cultures and time periods; 1949-present
Atlanta Daily World (1931-2003),http://libproxy.clemson.edu/login?url=https://search.proquest.com/hnpatlantadailyworld?accountid=6167,search the full text of historical editions of the Atlanta Daily World newspaper
Atlanta Journal-Constitution,http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/?db=AJC-EEDT,This provides coverage of The Atlanta Journal-Constitution with images from 2017 to present.
Auto Repair Source,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s8500948&site=autorepso&groupid=main","automobile service and repair information on more than 38,000 domestic and imported vehicles from every major manufacturer; 1974-present"
Avalon Project,http://avalon.law.yale.edu/default.asp,"documents in law, history, and diplomacy from the Yale Law School"
Avery Index to Architectural Periodicals,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bvh",architecture and related fields; 1930s-present with some coverage back to the 1860s
Bacteriology Abstracts,http://libproxy.clemson.edu/login?url=https://search.proquest.com/microbiologyb?accountid=6167,topics include bacterial immunology and vaccinations; 1982-present
Baltimore Afro-American (1893-1988),http://libproxy.clemson.edu/login?url=https://search.proquest.com/hnpbaltimoreafricanamerican,search the full text of ProQuest historical editions of the Boston Afro-American newspaper
BBC Shakespeare Collection,http://libproxy.clemson.edu/login?url=http://www.ambrosedigital.com/institutions?skus=SH,streaming video of 37 Shakespearean plays produced by the BBC
Berkeley: Works,http://libproxy.clemson.edu/login?url=http://pm.nlx.com/xtf/view?docId=berkeley/berkeley.xml,search the complete works of George Berkeley with keywords or phrases
Bibliographic Database of the Conservation Information Network (BCIN),https://www.bcin.ca/home.app?lang=en,"books, conference proceedings, audiovisual materials, and more about conservation, preservation, and restoration of cultural property"
Bibliography of Asian Studies,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bas",index to articles (1971-present) and books (1971-1991) in western languages on all phases of life and culture in Asia during all time periods
Bibliography of British and Irish History (BBIH),http://libproxy.clemson.edu/login?url=http://apps.brepolis.net/LTool/Entrance.aspx?w=19,The Bibliography of British and Irish History (BBIH) is the most comprehensive and accurate guide available to what's been written about British and Irish history. It's an essential resource for research and teaching.
Bibliography of the History of Art,http://www.getty.edu/research/tools/bha/,access to the Bibliography of the History of Art (BHA) and to the Répertoire international de la littérature de l'art (RILA) hosted by the Getty Research Institute; coverage up to 2008
Bilingual Dictionaries,http://libproxy.clemson.edu/login?url=http://www.oxfordreference.com/browse?t1=ORO:GEN00155,"bilingual dictionaries in English and either French, German, Irish, Italian, Latin, Spanish, or Welsh; publication years vary"
Biography in Context (Gale),http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/start.do?p=BIC&u=clemson_itweb,"biographical information integrating reference materials, periodical articles, and multimedia content. Access provided via Discus"
Biography Index Past and Present,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bit",more than a million article and book citations back to 1946; a comprehensive biographical resource on newsmakers of their times
Biography Reference Bank,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=brb","biographical profiles plus articles, images, interviews, essays, book reviews, performance reviews, speeches, and obituaries"
Biological and Agricultural Index Plus,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bai","articles from agriculture, atmospheric science, biochemistry, biology, biotechnology, botany, chemistry, environmental science, geology, marine biology microbiology, and physics journals
Limit: 4 simultaneous users"
Biological Science Database,http://libproxy.clemson.edu/login?url=https://search.proquest.com/biologicalscience1?accountid=6167,"animal behavior, aquatic sciences, ecology, genetics, industrial and applied microbiology, and toxicology, 2000-present; Conference Papers Index, 1982-present; TOXLINE, 1996-present; formerly Biological Sciences"
BioMed Central,http://www.biomedcentral.com/,peer-reviewed biomedical research
BioOne Complete,http://libproxy.clemson.edu/login?url=https://www.bioone.org,full-text database of high-impact bioscience research journals; 2000-present
bioRxiv,https://www.biorxiv.org/,This is a free online archive and distribution service for unpublished preprints in the life sciences operated by Cold Spring Harbor Laboratory.
BIOSIS,http://libproxy.clemson.edu/login?url=https://webofknowledge.com/BIOSIS,"biology, medicine, agriculture, and related fields; 1969-present"
BIOSIS Citation Index,http://libproxy.clemson.edu/login?url=https://webofknowledge.com/bci,life sciences and biomedical research; 1926-present
Birds of the World,http://libproxy.clemson.edu/login?url=https://birdsoftheworld.org/bow/home,"This provides life histories of birds from around the world with scientific information, images, videos, and recordings."
Bloom's Literature,http://libproxy.clemson.edu/login?url=https://online.infobase.com/HRC/Browse/Product/12,"Contains essays on well-known writers, works, & influential movements and events in world literature plus bios, character entries, and videos. Access provided via DISCUS."
Bloomberg BusinessWeek Archive (1929-2000),"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bwa",searchable full text of all issues from this time period plus PDFs of items as they appeared
Bloomberg Tax: to register for an account,http://libproxy.clemson.edu/login?url=https://clemson.libwizard.com/f/bloomberg-tax,"To register to search U.S. Income Portfolios and Estates, Gifts and Trusts Portfolios along with primary tax materials."
Bloomberg Tax: use if already registered,https://www.bloomberglaw.com/product/tax/page/page_federal,"Search U.S. Income Portfolios and Estates, Gifts and Trusts Portfolios along with primary tax materials."
Book Citation Index,"http://libproxy.clemson.edu/login?url=https://webofknowledge.com/?DestApp=WOS&editions=BSCI,BHCI",science and social sciences & humanities content; 2005-present
Book Review Digest Plus,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=brd",reviews from academic sources on a wide range of topics
Books and Authors (Gale),http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/start.do?p=BNA&u=clemsonu_main,reading recommendations
"Books, Articles & More (Primo)",https://pascal-clemson.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_CLEM%3ACLEMSON&lang=en,"Search for articles, books, eJournals, and items in the Clemson Libraries catalog."
BrainPOP Jr.,http://biblio.clemson.edu/restricted_access/,"Enter your Clemson login to gain access
Create animated, curricular content to engage students, support educators, and bolster achievement. Access is provided via DISCUS."
British History Online,http://libproxy.clemson.edu/login?url=https://www.british-history.ac.uk/,"British History Online is a collection of nearly 1300 volumes of primary and secondary content relating to British and Irish history, and histories of empire and the British world. BHO also provides access to 40,000 images and 10,000 tiles of historic maps of the British Isles."
"British Library Newspapers, Parts 1-5",http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/start.do?p=BNCN&fromProdId=BNCN&u=clemsonu_main,2 million newspaper pages from national and regional newspapers in Great Britain; 1746-1950
British Literary Manuscripts Online,http://libproxy.clemson.edu/login?url=https://link.gale.com/apps/BLM?u=clemsonu_main,"images of literary manuscripts, including drafts and similar materials; includes Medieval, Renaissance, and 1660-1900 collections"
British Periodicals Collection I & II,http://libproxy.clemson.edu/login?url=https://search.proquest.com/britishperiodicals?accountid=6167,These collections contain hundreds of searchable full-text periodicals from 1681-1939.
Building Types Online,http://libproxy.clemson.edu/login?url=https://www.degruyter.com/db/bdt,"International contemporary buildings organized by type with over 5,000 drawings, 2,000 photos, 850 case studies, and 120+ thematic articles with extensive search options. Features high-quality technical drawings and downloadable vector-based plans from the Birkhäuser program on building types. Updated annually."
BuildingGreen Suite,http://libproxy.clemson.edu/login?url=http://www2.buildinggreen.com/campus?CFID=11844139&CFTOKEN=18506211,"articles, news, reviews, product listings, and case studies related to green design and construction"
